country,arrivals,arrivals_male,arrivals_female
ABW,0,0,0
AFG,684,514,170
AGO,78,60,18
AIA,1,1,0
ALB,627,422,205
ALL,30515304,16974572,13540732
AND,88,47,41
ANT,0,0,0
ARE,8475,4800,3675
ARG,6162,3345,2817
ARM,1099,460,639
ATA,2,1,1
ATG,276,186,90
AUS,409096,232754,176342
AUT,14358,8831,5527
AZE,1712,938,774
BDI,82,32,50
BEL,21020,12532,8488
BEN,159,114,45
BFA,92,82,10
BGD,635545,606390,29155
BGR,3630,1971,1659
BHR,2780,1520,1260
BHS,119,66,53
BIH,804,474,330
BLR,5116,2398,2718
BLZ,140,73,67
BMU,1,0,1
BOL,623,342,281
BRA,15139,8594,6545
BRB,89,45,44
BRN,1113225,608665,504560
BTN,673,456,217
BVT,1,0,1
BWA,230,92,138
CAF,8,4,4
CAN,84768,47896,36872
CCK,0,0,0
CHE,26593,15592,11001
CHL,3510,1804,1706
CHN,1661719,810789,850930
CIV,306,220,86
CMR,360,257,103
COD,171,125,46
COG,55,39,16
COK,1,1,0
COL,2859,1496,1363
COM,249,143,106
CPV,32,15,17
CRI,922,540,382
CUB,333,189,144
CYP,1106,693,413
CZE,9728,5560,4168
DEU,144717,86904,57813
DJI,142,83,59
DMA,605,471,134
DNK,19080,11497,7583
DOM,393,203,190
DZA,11814,7103,4711
ECU,1040,516,524
EGY,25669,17746,7923
ERI,217,120,97
ESP,48872,27130,21742
EST,3331,1747,1584
ETH,472,291,181
FIN,10146,5849,4297
FJI,2679,1378,1301
FRA,141828,82777,59051
FSM,15,7,8
GAB,134,87,47
GBR,325653,195231,130422
GEO,804,499,305
GHA,1090,757,333
GIB,1,0,1
GIN,720,523,197
GLP,0,0,0
GMB,316,237,79
GNB,9,8,1
GNQ,19,9,10
GRC,4243,2964,1279
GRD,227,149,78
GRL,2,1,1
GTM,476,257,219
GUY,91,49,42
HKG,10345,4845,5500
HMD,1,0,1
HND,266,165,101
HRV,2803,1827,976
HTI,91,66,25
HUN,8016,4389,3627
IDN,3734821,1778240,1956581
IND,930548,639111,291437
IOT,5,0,5
IRL,22383,13314,9069
IRN,23997,12863,11134
IRQ,13814,9238,4576
ISL,570,308,262
ISR,2,1,1
ITA,58137,36045,22092
JAM,305,113,192
JOR,10560,6393,4167
JPN,324050,202583,121467
KAZ,10248,4297,5951
KEN,6254,3112,3142
KGZ,3088,1594,1494
KHM,96644,46908,49736
KIR,19,11,8
KNA,1133,825,308
KOR,444660,225397,219263
KWT,12842,6765,6077
LAO,23963,5520,18443
LBN,3516,2228,1288
LBR,108,90,18
LBY,4396,3110,1286
LCA,226,171,55
LIE,97,55,42
LKA,66274,42562,23712
LSO,62,25,37
LTU,5646,2748,2898
LUX,850,535,315
LVA,2826,1385,1441
MAC,83,45,38
MAR,13557,6942,6615
MCO,34,21,13
MDA,443,251,192
MDG,1184,510,674
MDV,33233,17402,15831
MEX,10541,5321,5220
MHL,55,42,13
MKD,579,309,270
MLI,158,120,38
MLT,823,502,321
MMR,156695,80704,75991
MNE,189,149,40
MNG,7034,2921,4113
MNP,1,0,1
MOZ,337,165,172
MRT,260,212,48
MUS,22527,11447,11080
MWI,257,139,118
MYT,1,0,1
NAM,327,162,165
NCL,0,0,0
NER,36,24,12
NGA,5442,4207,1235
NIC,82,42,40
NLD,79988,46621,33367
NOR,12004,7153,4851
NPL,165647,155181,10466
NRU,78,49,29
NZL,53257,31073,22184
OMN,19439,11005,8434
PAK,157774,135400,22374
PAN,420,200,220
PER,2262,1139,1123
PHL,510580,183005,327575
PLW,24,14,10
PNG,1140,699,441
POL,24114,12667,11447
PRI,0,0,0
PRK,0,0,0
PRT,12120,6897,5223
PRY,226,131,95
PSE,4344,3026,1318
QAT,2725,1590,1135
REU,2,1,1
ROU,10684,5634,5050
RUS,133231,68168,65063
RWA,146,86,60
SAU,56919,31914,25005
SDN,12704,7188,5516
SEN,894,644,250
SGP,14885712,8433439,6452273
SGS,2,0,2
SHN,1,1,0
SLB,207,110,97
SLE,295,193,102
SLV,250,137,113
SMR,37,22,15
SOM,2736,1673,1063
SPM,0,0,0
SRB,1109,606,503
SSD,389,237,152
STP,22,18,4
SUR,342,201,141
SVK,5417,3018,2399
SVN,2227,1221,1006
SWE,20681,12209,8472
SWZ,242,112,130
SYC,1075,433,642
SYR,8291,5286,3005
TCA,2,0,2
TCD,345,270,75
TGO,125,97,28
THA,2362222,1280305,1081917
TJK,1428,999,429
TKL,0,0,0
TKM,1368,839,529
TLS,2617,1482,1135
TON,189,83,106
TTO,531,294,237
TUN,10193,5089,5104
TUR,21675,14920,6755
TUV,4,3,1
TWN,314100,147784,166316
TZA,2648,1386,1262
UGA,1642,759,883
UKR,13729,6671,7058
URY,1368,654,714
USA,267340,155261,112079
UZB,16127,9802,6325
VAT,5,5,0
VCT,43,22,21
VEN,1250,680,570
VNM,402145,135119,267026
VUT,1415,1118,297
WSM,57,24,33
XXX,6664,3986,2678
YEM,16599,11439,5160
ZAF,19621,10980,8641
ZAR,5,3,2
ZMB,970,505,465
ZWE,2025,955,1070
